epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,3354.43,0.81128,0.67245,1.0714,0.82869,0.7374,0.79635,0.57689,1.13202,0.91273,1.15604,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3423.18,0.79569,0.65448,1.06154,0.81932,0.73961,0.79373,0.58257,1.11648,0.89793,1.15122,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3492.25,0.7925,0.65829,1.06215,0.84966,0.72397,0.78731,0.57804,1.12227,0.89949,1.16039,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3560.81,0.79675,0.65459,1.06487,0.81451,0.74076,0.78884,0.58217,1.11061,0.89002,1.14953,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3629.48,0.78889,0.64911,1.05973,0.83702,0.73198,0.79126,0.58958,1.10319,0.88267,1.14683,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3698.41,0.79235,0.64934,1.06104,0.8199,0.74169,0.78844,0.58989,1.10308,0.88394,1.15379,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3767.34,0.76884,0.6278,1.0503,0.84511,0.7255,0.78055,0.57814,1.11739,0.88879,1.1655,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3836.4,0.77118,0.62176,1.05147,0.83563,0.73778,0.78606,0.5824,1.10415,0.89266,1.1525,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3905.39,0.77309,0.62951,1.05085,0.84106,0.73909,0.78885,0.58525,1.1152,0.87582,1.15828,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3974.55,0.77076,0.61787,1.05166,0.83353,0.73869,0.79484,0.58943,1.10209,0.86925,1.14911,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4043.41,0.75379,0.60864,1.04345,0.83348,0.74359,0.79638,0.59021,1.09712,0.87378,1.14661,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4112.25,0.75599,0.60613,1.04269,0.82187,0.75249,0.79566,0.58849,1.10852,0.88147,1.15441,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4181.01,0.74096,0.59777,1.03731,0.82421,0.74017,0.78911,0.58358,1.11204,0.88321,1.16726,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4250.04,0.74787,0.60248,1.04341,0.82829,0.74075,0.7956,0.58657,1.11224,0.86517,1.16198,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4318.67,0.7385,0.59072,1.0374,0.83513,0.73632,0.79523,0.58843,1.09809,0.86383,1.15182,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4387.38,0.73525,0.58259,1.03315,0.8399,0.7482,0.79746,0.59422,1.09921,0.8558,1.15217,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4456.52,0.72436,0.5782,1.0271,0.8461,0.73971,0.80035,0.59956,1.09668,0.84925,1.14621,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4525.8,0.72912,0.57972,1.02747,0.83659,0.74055,0.79682,0.59571,1.09736,0.86004,1.14914,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4594.98,0.738,0.58328,1.02977,0.81298,0.75352,0.79259,0.5885,1.09796,0.87489,1.1495,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4664.18,0.72183,0.57235,1.02472,0.82847,0.74148,0.7933,0.58881,1.09686,0.8641,1.15221,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4733.09,0.71998,0.56212,1.02552,0.83127,0.74733,0.79154,0.58839,1.09818,0.85652,1.15814,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4801.81,0.71761,0.56412,1.02292,0.82282,0.75008,0.79241,0.59376,1.09109,0.86201,1.15034,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4870.43,0.70653,0.55379,1.0174,0.83364,0.74899,0.79145,0.5912,1.09348,0.85291,1.15406,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4939.27,0.70186,0.54784,1.01593,0.82454,0.7452,0.78993,0.59381,1.08826,0.85714,1.14373,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5007.9,0.70185,0.54806,1.0146,0.81068,0.76042,0.78945,0.59063,1.09662,0.85839,1.14688,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5077.21,0.69485,0.53996,1.00914,0.83153,0.74899,0.79184,0.59206,1.09434,0.85053,1.14775,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5146.38,0.69216,0.53833,1.01117,0.8265,0.75139,0.79175,0.59324,1.09248,0.84856,1.15008,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5215.71,0.68464,0.52932,1.00877,0.82898,0.74717,0.79499,0.59535,1.09234,0.84264,1.14904,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
